phrase,source,verified,ragil,detected_number_words,parsed_numeric_sequence,parsed_numeric_value,corpus_role,world_theme,provenance,confidence,category
אלפיים אמה,promoted:raw_docx_v2,True,217,אלפיים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
אלפים אמה,promoted:raw_docx_v2,True,207,אלפים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע אמהוות,promoted:raw_docx_v2,True,731,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע אמות,promoted:raw_docx_v2,True,720,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע גלוויות,promoted:raw_docx_v2,True,734,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע גליות,promoted:raw_docx_v2,True,722,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע כוסות,promoted:raw_docx_v2,True,765,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע מאות שקל כסף,promoted:raw_docx_v2,True,1310,"ארבע, מאות",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע מאת שקל כסף,promoted:raw_docx_v2,True,1304,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע פרשיות,promoted:raw_docx_v2,True,1269,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע קושיות,promoted:raw_docx_v2,True,1095,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע רוחות השמים,promoted:raw_docx_v2,True,1288,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבע רשויות,promoted:raw_docx_v2,True,1195,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעה מינים,promoted:raw_docx_v2,True,428,ארבעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעים יום וארבעים לילה,promoted:raw_docx_v2,True,783,ארבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעים סאה,promoted:raw_docx_v2,True,389,ארבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעים סאה חסר קרטוב,promoted:raw_docx_v2,True,974,ארבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעים שנה,promoted:raw_docx_v2,True,678,ארבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ארבעת המינים,promoted:raw_docx_v2,True,828,ארבעת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
באים כאחד,promoted:raw_docx_v2,True,86,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
בגדי שש,promoted:raw_docx_v2,True,619,שש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
בטול בששים,promoted:raw_docx_v2,True,699,ששים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
בשר אחד,promoted:raw_docx_v2,True,515,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
בת שבע,promoted:raw_docx_v2,True,774,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
דבר שיש לו מתירין,promoted:raw_docx_v2,True,1562,שיש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
דוד בת שבע,promoted:raw_docx_v2,True,788,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
הטור האחד,promoted:raw_docx_v2,True,238,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
העלם אחד,promoted:raw_docx_v2,True,158,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
התר מאה רבנים,promoted:raw_docx_v2,True,953,מאה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ושתי המלכה,promoted:raw_docx_v2,True,816,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
זה בורר לו אחד,promoted:raw_docx_v2,True,469,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חזקת שלש שנים,promoted:raw_docx_v2,True,1545,"שלש, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חמישה חומשי תורה,promoted:raw_docx_v2,True,1338,חמישה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חמישה חמשי תורה,promoted:raw_docx_v2,True,1332,חמישה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חמש אצבעות,promoted:raw_docx_v2,True,917,חמש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חמשה עשר באב,promoted:raw_docx_v2,True,928,"חמשה, עשר",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
חמשה עשר בשבט,promoted:raw_docx_v2,True,1236,"חמשה, עשר",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
יום אחד,promoted:raw_docx_v2,True,69,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
יחיד ממאה,promoted:raw_docx_v2,True,118,מאה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ימים אלף מאתים ותשעים,promoted:raw_docx_v2,True,1528,"אלף, תשעים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
לאלף דור,promoted:raw_docx_v2,True,351,אלף,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
לב אחד,promoted:raw_docx_v2,True,45,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
לבשר אחד,promoted:raw_docx_v2,True,545,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
מאה באמה,promoted:raw_docx_v2,True,94,מאה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
מאה ברכות,promoted:raw_docx_v2,True,674,מאה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
מאה שערים,promoted:raw_docx_v2,True,666,מאה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
מקרה אחד,promoted:raw_docx_v2,True,358,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
נצר חסד לאלפים,promoted:raw_docx_v2,True,603,אלפים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עץ אחד,promoted:raw_docx_v2,True,173,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ערב תשעה באב,promoted:raw_docx_v2,True,1052,תשעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשר אצבעות,promoted:raw_docx_v2,True,1139,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשר המכות,promoted:raw_docx_v2,True,1041,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשר וכבוד,promoted:raw_docx_v2,True,608,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשר מכות מצרים,promoted:raw_docx_v2,True,1416,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשר ספירות,promoted:raw_docx_v2,True,1326,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרה בטלנים,promoted:raw_docx_v2,True,716,עשרה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרה דבריא,promoted:raw_docx_v2,True,792,עשרה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרה הרוגי מלכות,promoted:raw_docx_v2,True,1295,עשרה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרת הדברים,promoted:raw_docx_v2,True,1231,עשרת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרת הרוגי מלכות,promoted:raw_docx_v2,True,1690,עשרת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
עשרת ימי תשובה,promoted:raw_docx_v2,True,1743,עשרת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
פי שנים,promoted:raw_docx_v2,True,490,שנים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
פסחים על שתי הסעפים,promoted:raw_docx_v2,True,1273,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
קרית ארבע,promoted:raw_docx_v2,True,983,ארבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
רבבות אפרים,promoted:raw_docx_v2,True,941,רבבות,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
רגע אחד,promoted:raw_docx_v2,True,286,אחד,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע אומות,promoted:raw_docx_v2,True,825,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע ברכות,promoted:raw_docx_v2,True,1000,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע דנחמתא,promoted:raw_docx_v2,True,875,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע הקפות,promoted:raw_docx_v2,True,963,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע נקיים,promoted:raw_docx_v2,True,582,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע פעמים,promoted:raw_docx_v2,True,612,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבע שמחות,promoted:raw_docx_v2,True,1126,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעה ימים,promoted:raw_docx_v2,True,477,שבעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעה נקיים,promoted:raw_docx_v2,True,587,שבעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעה עינים,promoted:raw_docx_v2,True,557,שבעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעה עשר בתמוז,promoted:raw_docx_v2,True,1402,"עשר, שבעה",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעים יום,promoted:raw_docx_v2,True,478,שבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעים פנים,promoted:raw_docx_v2,True,602,שבעים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2 | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
שבעת המינים,promoted:raw_docx_v2,True,927,שבעת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שבעת הסריסים,promoted:raw_docx_v2,True,1157,שבעת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלוש שנים,promoted:raw_docx_v2,True,1036,"שלוש, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלמה בן בת שבע,promoted:raw_docx_v2,True,1201,שבע,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש סעודות,promoted:raw_docx_v2,True,1176,שלש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש עשרה מדות,promoted:raw_docx_v2,True,1655,"עשרה, שלש",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש עשרה שנה,promoted:raw_docx_v2,True,1560,"עשרה, שלש",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש פעמים,promoted:raw_docx_v2,True,870,שלש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש רגלים,promoted:raw_docx_v2,True,913,שלש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלש שנים,promoted:raw_docx_v2,True,1030,"שלש, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשה אבות,promoted:raw_docx_v2,True,1044,שלשה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשה ימים,promoted:raw_docx_v2,True,735,שלשה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשה ירחים,promoted:raw_docx_v2,True,903,שלשה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשה עדרי צאן,promoted:raw_docx_v2,True,1060,שלשה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשים כסף,promoted:raw_docx_v2,True,840,שלשים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שלשים של עבד,promoted:raw_docx_v2,True,1086,שלשים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שמונה ימי מילה,promoted:raw_docx_v2,True,546,שמונה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שמונה עשר דבר,promoted:raw_docx_v2,True,1177,"עשר, שמונה",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שמנה עשר דבר,promoted:raw_docx_v2,True,1171,עשר,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני גזרי עצים,promoted:raw_docx_v2,True,790,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני חיי יעקב,promoted:raw_docx_v2,True,570,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני חיי יצחק,promoted:raw_docx_v2,True,596,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני כתובים הבאים כאחד,promoted:raw_docx_v2,True,929,"אחד, שני",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני לוחות,promoted:raw_docx_v2,True,810,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני לוחת,promoted:raw_docx_v2,True,804,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני לוחת האבנים,promoted:raw_docx_v2,True,912,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני לחות הברית,promoted:raw_docx_v2,True,1421,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני לחת העדת,promoted:raw_docx_v2,True,1277,שני,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שני עשר שבטי ישראל,promoted:raw_docx_v2,True,1792,"עשר, שני",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שנים מקרא ואחד תרגום,promoted:raw_docx_v2,True,1409,"אחד, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שנים עשר חדש,promoted:raw_docx_v2,True,1282,"עשר, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שנים עשר חודש,promoted:raw_docx_v2,True,1288,"עשר, שנים",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שנים שעשו,promoted:raw_docx_v2,True,1076,שנים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שנת החמשים,promoted:raw_docx_v2,True,1153,חמשים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שער החמישים,promoted:raw_docx_v2,True,983,חמישים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שער החמשים,promoted:raw_docx_v2,True,973,חמשים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שרי אלפים,promoted:raw_docx_v2,True,671,אלפים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שש כנפים,promoted:raw_docx_v2,True,800,שש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שש מעלות לכסא,promoted:raw_docx_v2,True,1257,שש,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ששה מיליון יהודים,promoted:raw_docx_v2,True,826,"מיליון, ששה",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ששה סדרי משנה,promoted:raw_docx_v2,True,1274,ששה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ששים ריבוא,promoted:raw_docx_v2,True,869,ששים,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
ששת ימי המעשה,promoted:raw_docx_v2,True,1480,ששת,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתי הלחם,promoted:raw_docx_v2,True,793,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתי וערב,promoted:raw_docx_v2,True,988,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתי טבעות זהב,promoted:raw_docx_v2,True,1211,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתי שבתות,promoted:raw_docx_v2,True,1818,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתי שערות,promoted:raw_docx_v2,True,1686,שתי,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
שתים עשרה האבנים,promoted:raw_docx_v2,True,1433,שתים עשרה,,12,thematic_corpus,,(none) | source=promoted:raw_docx_v2,high,mixed_numeric_phrase
תשלומי ארבעה וחמישה,promoted:raw_docx_v2,True,1433,"ארבעה, חמישה",,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
תשעה ירחי לידה,promoted:raw_docx_v2,True,1052,תשעה,,,thematic_corpus,,(none) | source=promoted:raw_docx_v2,medium,mixed_numeric_phrase
הרב עמוס גואטה נרצח ארבע דקירות סכין בחזה,shachar-kandro,True,1910,ארבע,,,research_package,,מאת שחר יצחק קנדרו — רמזי הצדיק רבי עמוס גואטה הי״ד | source=shachar-kandro | vip_source=שחר יצחק קנדרו,medium,mixed_numeric_phrase
אלף מאתים ושתים,sod1820,True,1358,אלף,,,research_package,,ליבה נקייה שחולצה מ: אלף מאתים ושתים (1202) | source=sod1820,medium,mixed_numeric_phrase
האחד שלי,sod1820,True,358,אחד,,,research_package,,ליבה נקייה שחולצה מ: האחד שלי 1317 | source=sod1820,medium,mixed_numeric_phrase
המשיח בנ ששים ושתים,sod1820,True,1821,ששים,,,research_package,,ליבה נקייה שחולצה מ: המשיח בנ ששים ושתים 1821 | source=sod1820,medium,mixed_numeric_phrase
הקדוש ברוך הוא תורה ישראל אחד,sod1820,True,1820,אחד,,,research_package,1820 (site core number) [gematria match],ליבה נקייה שחולצה מ: הקדוש ברוך הוא + תורה + ישראל + אחד | source=sod1820,medium,mixed_numeric_phrase
וארא בחלמי והנה שבע שבלים,sod1820,True,1118,שבע,,,research_package,,ליבה נקייה שחולצה מ: וָאֵרֶא בַּחֲלֹמִי וְהִנֵּה שֶׁבַע שִׁבֳּלִים | source=sod1820,medium,mixed_numeric_phrase
ועשה חסד לאלפים,sod1820,True,644,אלפים,,,research_package,,ליבה נקייה שחולצה מ: וְעֹשֶׂה חֶסֶד לַאֲלָפִים | source=sod1820,medium,mixed_numeric_phrase
חמשה חמשי תורה חמשה ספרי תהלים,sod1820,True,2510,חמשה,,,research_package,,ליבה נקייה שחולצה מ: חֲמִשָּׁה חֻמְּשֵׁי תּוֹרָה -חֲמִשָּׁה סִפְרֵי תְּהִלִּים | source=sod1820,medium,mixed_numeric_phrase
מימד חמש,sod1820,True,442,חמש,,,research_package,,ליבה נקייה שחולצה מ: מימד חמש 1472 | source=sod1820,medium,mixed_numeric_phrase
מימים רבים תפקד באחרית השנים תבוא אל ארץ משובבת מחרב מקבצת מעמים רבים על הרי ישראל אשר היו לחרבה,sod1820,True,6440,שנים,,,research_package,,יחזקאל לח:ח | source=sod1820,medium,mixed_numeric_phrase
סוד אחד,sod1820,True,83,אחד,,,research_package,,ליבה נקייה שחולצה מ: סוד 1820 - אחד | source=sod1820,medium,mixed_numeric_phrase
סוד אלף שמונה מאות עשרים כי לה המלוכה,sod1820,True,1820,"אלף, מאות, עשרים, שמונה",,1820,research_package,1820 (site core number) [gematria match]; 1820 (site core number) [spelled-value match],סוד1820 (כי לה' המלוכה) | source=sod1820,medium,mixed_numeric_phrase
שתים שש שש שש ארבע ארבע,sod1820,True,3096,"שתים, שש, שש, שש, ארבע, ארבע","[2,6,6,6,4,4]",,numeric_word_construct,,ליבה נקייה שחולצה מ: שתים שש שש שש ארבע ארבע ∆ | source=sod1820,low,numeric_sequence
הארת פנים חלק ד מביא ששה חלקי פסוקים שהגימטריא שלהם,wa-deep,False,2983,ששה,,,research_package,,מאת OPOC1 OPOC1 | source=wa-deep,medium,mixed_numeric_phrase
סוד אחד שתים שלש שבע,wa-gilui-yomi,True,1835,"אחד, שתים, שלש, שבע","[1,2,3,7]",1237,numeric_word_construct,1835 (Yitzchak Shachar Kandro series) [gematria match]; 1237 (cross-source messiah convergence) [spelled-value match],מאת יצחק שחר קנדרו — «סוד 1237» = 1835 | source=wa-gilui-yomi,medium,numeric_sequence
בגימטריא עשר פעמים,wa-vip,False,1085,עשר,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
ה בחמשת חומשי התורה,wa-vip,False,1735,חמשת,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
ועשה חסד לאלפים לאהבי ולשמרי מצותי,wa-vip,False,1824,אלפים,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
יש אחד ביקום שיקבל מדריגה וברכה שתושיט יד לתבל כולו דרך כל הנפשות,wa-vip,False,4096,אחד,,,research_package,,מאת שמעון חיימוב | source=wa-vip | vip_source=שמעון חיימוב,medium,mixed_numeric_phrase
כפול עשרים,wa-vip,True,756,עשרים,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
שבעים פנים לתורה,wa-vip,True,1243,שבעים,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
שרית בגימטריא עשר פעמים מלאך,wa-vip,False,2086,עשר,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
שתי הערות חשובות,wa-vip,False,2113,שתי,,,research_package,,מאת OPOC1 OPOC1 | source=wa-vip | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
בשתי ידים,wp_id:23886,True,776,שתי,,,unknown,,=776=ביאת המשיח | source=wp_id:23886,medium,mixed_numeric_phrase
בכל לבבך בשני יצריך ובכל נפשך אפילו הוא נוטל את נפשך ובכל מאדך בכל ממונך,גיורא בן-יעקוב SMS,True,2722,שני,,,unknown,,(none) | source=גיורא בן-יעקוב SMS,medium,mixed_numeric_phrase
שש קצוות,סשן 23.7.2026,True,1202,שש,,,unknown,,נרשם בעקבות ציר 66/600/660. רגיל=1202. ממתין להחלטת קידום. | source=סשן 23.7.2026,medium,mixed_numeric_phrase
שני,auto:תיעוד אירועים wp33173,True,360,שני,,,unknown,,שרשרת: [360] | source=auto:תיעוד אירועים wp33173,low,ambiguous
ביום ההוא יהיה יהוה אחד ושמו אחד,contribution:צבי (OPOC),True,509,אחד,,,unknown,,(none) | source=contribution:צבי (OPOC),low,ambiguous
אחד,entity_seed_v1,True,13,אחד,,,unknown,,(none) | source=entity_seed_v1,low,ambiguous
11111 דרגת היחידה לצמח דוד - לפי אחד,excel_import,False,644,אחד,,,unknown,,11111 דרגת היחידה לצמח דוד - לפי אחד | source=excel_import,low,ambiguous
11111 דרגת היחידה- לפי אחת,excel_import,False,2701,אחת,,,unknown,,11111 דרגת היחידה - לפי אחת | source=excel_import,low,ambiguous
11111 דרגת מלך-לפי אחת,excel_import,False,2015,אחת,,,unknown,,11111 דרגת מלך - לפי אחת | source=excel_import,low,ambiguous
11111 דרגת משיח -- אטבח -66 אטבח לפי אחת,excel_import,False,26600,אחת,,,unknown,,11111 דרגת משיח - אטבח - 66 אטבח לפי אחת | source=excel_import,low,ambiguous
1118 כי ליהוה המלוכה - אטבח 1118 - (לפי אחד) - לפי אחת 1820,excel_import,False,555,"אחד, אחת",,,unknown,,1118 כי ליהוה המלוכה - אטבח 1118 - (לפי אחד) - לפי אחת 1820 | source=excel_import,low,ambiguous
1335 1290 התגלותי כמלך המשיח האמיתי - לפי אחת,excel_import,False,5880,אחת,,,unknown,,1335 1290 התגלותי כמלך המשיח האמיתי - לפי אחת | source=excel_import,low,ambiguous
1335 1290 התגלותי כמשיחך - לפני לפי אחד,excel_import,False,3245,אחד,,,unknown,,1335 1290 התגלותי כמשיחך - לפני לפי אחד | source=excel_import,low,ambiguous
1335 1290 התגלותי כמשיחך - מסתתר -לפי אחת,excel_import,False,5330,אחת,,,unknown,,1335 1290 התגלותי כמשיחך - מסתתר - לפי אחת | source=excel_import,low,ambiguous
1335 1290 סוד גאלת ישראל - לפי אחד,excel_import,False,4340,אחד,,,unknown,,1335 1290 סוד גאלת ישראל - לפי אחד | source=excel_import,low,ambiguous
