# סוד החשמל — full lesson index extracted from post id=1794 (wp_id=503, 2013-11-26)
# READ-ONLY extraction. Each row = one source unit (audio lesson) with its one-line topic.
# parsed=1202 distinct=1200 range=2-1279 numbering_gaps=78
# lesson_no	topic
789	השתלשל המגדל הגבוה ב’דובאי’ לרמז שהם יונקים מהאור של בית המקדש השלישי שצפוי להיות הגבוה בעולם
789	השתלשל המגדל הגבוה ב’דובאי’ לרמז שהם יונקים מהאור של בית המקדש השלישי שצפוי להיות הגבוה בעולם
788	קפסולה אותיות פוק סלה, צא לסלה שהיא הנצח והאמת ואור הכתר והקשר להסל שנקרא בתורה טנא
787	קץ הימין למעלה היה בשנת תשל”ו בסוד 1290 ולזה צריך להוסיף עוד 45 שנים להגיע ל1335 שיוצא בתשפ”א
786	רמזים על גאולה בשנת תשפ”א
785	‘אמוץ ואמציה אחי”ם’ ר”ת “אשת חיל מי ימצא”, ולכן אמציה אותיות מציאה, ואמוץ אותיות מוצא
784	צופן נורא: אמריק”ה שוא”ה ה’תשפ”א בפסוק שמדבר על הנפלאות בזמן הגאלה, כשתבוא השואה על העמים
783	רק ה’ יכול לדעת את הרגע של לדת היעל ולדת האילה שצריך לשלוח להן נשר ונחש להציל בסוד לדת משיח
782	“את הכל עשה יפה בעתו”, ולשם מה צריך שגעון, אמר לו הקב”ה כשתגיע לאכיש שמרמז על גאלת אחישנה, תבין
781	המשך השיעור הקודם, ופסוק בתנ”ך שנרמזים בו כל שמות הקדש
780	רמזים על הפיצוץ בבירות, לא נמלאה צור אלא מחורבנה של ירושלים
779	“אחד עשר יום מחרב דרך הר שעיר עד קדש ברנע” ר”ת מש”ה ע”ד עקיב”א. והאותיות השניות חד”ר חד”ר ושע”ר
778	תפשי התורה שאינם לומדים פנימיות התורה דומים לנביאי הבעל ולרועים הפושעים, שיעור לליל תשעה באב
777	שנת תש”פ בגימטריא תשעה באב, כך שיש לנו בכפלים את שרש הצרה ושרש הנחמה שקשורים ביום הזה
776	הקורונה שנוטלת מהאנשים את חושי הטעם והריח, ומכסים במסכות את הפה והאף נרמזים בכתוב על ביאת המשיח
775	הקב”הה פותח ומסיים את השבחים שמשבח את השכינה הקדושה במילים “אימה כנדגלות”, ונרמזת שנת תש”פ
774	בזמן שעם ישראל אינם קבועים בבתי כנסיות ונאלצים לנדוד, אז נמשלו לקן ציפור שנודדת ממקומה
773	הנהגת היחוד מתגלה בשידוכים. ומדוע לא עשו עסק מפתיחת פי הנחש והעגל כמו האתון, ורמזים בפרשת פנחס
772	מי מנה עפר יעקב”, מה מפריע לבלעם המצות שמקיימים בעפר, ומדוע מוזכר עפ”ר פעמים יעקב בכל התנ”ך
771	באותיות מנצפ”ך, שמסמלות את הגאלה טמונה שנת 5780 לבריאת העולם העתידה
770	הקשר בין המבול לגאולה העתידה ורמז פלא על שנת תש”פ בפסוקי המבול
769	המשך השיעור על ר’ לוי יצחק, ומדוע משה סירב להיות הגואל, וסירב לבשר על הגאולה העתידה
768	הרמז בגלוי מצבת רבי לוי יצחק מברדיטשוב שהוא בא לעולם להמתיק את ה70 שנים של חבלי משיח
767	רמזים נפלאים על מערכת סוד החשמל שפועלת להגביר את הצפייה לישועה בעם ישראל
766	הקשר בין מצות פריה ורביה למצות צפית לישועה. ורמז על שנת תש”פ בנוסח הגט תרוכין, שבוקין, פיטורין
765	הקשר בין ש”ע נהורין לאלישע ולקרח שהיו גלגול קין
764	רואים בכמה פרשיות בתורה קשר בין הכנסת אורחים לתחית המתים וללדה ופרנסה, וגם למשענת ומקל
763	משה לא רצה להשפיע בשר, ולא רצה לומר את נבואת הגאולה העתידה, ושני דברים אלו נתנבאו אלדד ומידד
762	רמזים על מהומות השחורים בארה”ב, וביאור בדברי הרמב”ם שמי שאינו מוחל לחבירו הוא אכזרי
761	בעז ורות עסקו בתקון נשמת מחלון, ושמשון וערפה נסו לעשות תקון לנשמת כליון
760	“אנכי חי הוי”ה שכבי עד הבקר” ר”ת אחישנ”ה אם נתייחס לאות נ’ שבתוך האות העי”ן בגימטריא תש”פ
759	קורונ”ה אותיות ק”ן צפו”ר כשנחליף ו”ה בא”ת ב”ש לצ”פ. ולכן כלתה נפשי לחצרות ה’, גם צפור מצאה בית
758	דברי החיד”א שה’ יביא מכות על הגוים לפני הגאולה העתידה והיהודים רק יטעמו קצת מהמכה
757	יתכן שהבג”ץ יגרום לפרישת החרדים מהממשלה “וקם שבט מישראל”, ורמזים בפרשת בחוקתי על שנת תש”פ
756	מדוע רחל הולידה את יוסף שעל פי סוד הוא בחינת בעלה. וגם רמזים על הצדיק נסתר רבי משה אהרון בן בתיה
755	“וציר בגוים” בגימטריא קורונה. לרמז שהקורונה היא הציר הראשון של לדת משיח
754	הזמן היום מקביל לזמן המכות במצרים, ולכאורה מדוע כל העולם צריך לסבול בגלל פרעה שלא מסכים להכנע לה’
753	“הלא הוא כמס עמדי” מרמז על הגאולה כשלאה ורחל יתאחדו לפרצוף אחד. והקשר בין רחל אימנו לל”ג בעומר
752	בט”ו בשבט תש”ח שתלו עץ בדגניה וכנוהו “עץ המדינה”. וכשנשלמו 70 שנים, קרס העץ באופן פתאומי
751	צופן פלאי בדילוג תתקע”ד המילים: משת”ה ד”ק ה’תש”ח ה’ איי”ר שמסתיים בפסוק “וירשתה וישבת בה”
750	“כי בא יבא לא יאחר”, שלא יאחר כמנין יאח”ר שנים מסוף האלף. ולכן “לא יאחר” אותיות “איל אחר”
749	ה’ אי”ר תש”פ אותיות שפ”ת היא”ר, ומגלה את הקשר בין ה’ באייר לז’ של פסח וסיום הע”ב שנים מה’ אייר תש”ח
748	אותיות בראשי”ת בחלוף אות ב’ לאות פ’ יוצא אותיות אי”ר תש”פ, והקשר בין הקורונה למלחמת גוג ומגוג
747	בענין מסרים מגדולי ישראל שמשיח בפתח והתלבשות עלמא דשקרא על השפעות הגאולה
746	המשך הדרוש על קריעת ים סוף וסיפור חיזוק לימי הסגר בבתים מסר 745 קריאה ליהודי חו”ל לעלות לא”י בעקבות מגיפת הקורונה, ובענין הקשר בין קריעת ים סוף ללדת משיח מסר 744 פתשג”ן אותיות נג”ף ש”ת כמו שנאמר על המשיח “וקרקר כל בני שת”. וכן פתשג”ן אותיות תש”פ גאולה ניסן מסר 743 צפייה לישועה בערב פסח תש”פ מסר 742 הקורונה מרמזת על צינון הירכיים בזמן לידת משיח, קור נצח הוד מסר 741 דברי הרמח”ל שלפני הגאלה יסגרו כל השערים של ה’ בזמן הגלות. יתכן שזה הטעם שה’ סוגר את כל המוסדות מסר 740 האדמו”ר מרימנוב ערך גורל הבעש”ט על נגיף הקורונה
739	נגיף הקורונה שצבעו אדום ופוגע בראות שיש להם לבוש אדום, מסמל את הלבוש האדום שה’ לובש להנקם מאדום
738	המשך הרמזים על מגפת הקורונה בסין והקשר לגאולה בשנת תש”פ
737	הזהר על כ”ה לחודש השישי שיחול בשבת מתקיימים בכ”ה אדר תש”פ, וגם הקץ של 1775 מתחבר לתש”פ
736	איך המשיח יכפה את כל עם ישראל לעשות תשובה, והמשך הרמזים על הקורונה
735	מדוע סי”ן ר”ת סוד נטילת ידים, ומה הקשר לסוד נטילת ידים שעבר מה’אור החיים’ לבעש”ט וקשור לקורונה
734	קושיות בעניני פורים, והקשר בין אור הפורים לאור הגאולה העתידה, המשך הרמזים על הקורונה
733	הקשר בין תוצאות הבחירות בפעם השלישית לסימן של ר”י בן קיסמא שיפול השער ויבנה שלש פעמים
732	המשך הרמזים על הקורונה
731	המשך הרמזים על הקורונה, ומדוע עם ישראל לא קבלו את תקנת מרדכי ואסתר לאסור עשיית מלאכה בפורים
730	המגיפה שה’ יגוף את הגוים במלחמת גוג נרמזת בפסוק “וברב גאונך תהרוס קמיך” ועוד בענין יבנה ויפול
729	ה’ מעביר דרך האדם את החיות של חפציו, ומזה נבין מדוע שואל פטור מאונסין כשבעליו עמו
728	הקשר בין ויזתא ויז’טע שעושים ביקורי משפחות, והפירצות שיש בפרסום תמונות מצוה טאנץ של אדמורי”ם
727	המשך הרמזים על מגפת הקורונה בסין ועל שנת תש”פ
726	דברי רבי נחמן מברסלב שמשיח יבוא בשנת ברכה, והמשך הרמזים על מגפת הקורונה בסין
725	בספר ‘מאור האפלה’ מחכמי תימן בתחילת האלף השישי כותב לפני 700 שנה על שנת ה’תש”פ שהיא שנת הקץ
724	שיעור חודש שבט תש”פ בקבר דוד המלך בענין מגפת הקורונה בסין
723	מדוע התורה מתעלמת מהשמות של משה שנתנו לו הוריו בזמן שנולד, וקוראת לו בשם “הילד” שבע פעמים
722	אבני החושן הם סוד הנחש הקורע רחם האילה, והקשר ליום הבחירות שיחול ביום שני ו’ אדר תש”פ
721	עוד רמזים על התאריך ח’ שבט תש”פ
720	בלי אמונת העם לא היה שייך שמשה ואהרן יבואו אל פרעה לומר לו את דבר ה’, ולא שייך לזכות לגאולה
719	אנו מצפים לרגלי משיח, ולא לראשו, כי אנו מצפים שהנחש יחזור לקבל את רגליו שהם רגלי משיח
718	סיום הנסירה שקודם היחוד היא בסיום השבעים שנים של חבלי משיח, והקשר בין קליפת נסרלה לנסירה
717	רמז על גאולה בשנת תש”פ בפסוק “ותיטב לה’ משור פר מקרין מפריס”
716	דברי מרן הגר”ח קניבסקי שליט”א שהמשיח כבר כאן עם שתי רגלים, והקשר בין סיום הש”ס לקץ של תש”פ
715	שיעור חודש טבת תש”פ בקבר דוד המלך בענין ביקש יעקב לגלות את הקץ, ובענין עשרה בטבת
714	הריגת רמטכ”ל איראן על ידי ארה”ב ורמזים על הגאולה בהשתלשלות השנה הלועזית 2020
713	הסוד של נס הוא סומך ה’ לכל הנופלים בחיבור אותיות נ’ וס’ וזה סוד היחוד השלם של הגאולה
712	הקריאה של הצדיקים ליהודי חו”ל לעלות לארץ ישראל והסוד של כאיש אחד בלב אחד שקשור לחנוכה
711	קץ הימין למעלה ולמטה סוד 1290 ו1335 שמגיע לשנת תש”פ ועוד בעניני חנוכה
710	רמזים מפרשת מקץ לגאולה בחנוכה תש”פ
709	רמזים לחנוכה תש”פ
708	רמזים על הטרגדיה בפטירת האב והבן בערב חנוכה ורמזים על חנוכה תש”פ
707	סיום ה72 שנים של חבלי משיח ולידת משיח בימים אלו שמשלימים 72 שנים מקום המדינה
706	הנפילה השלישית של השער שמשלימה את הסימן של רבי יוסי בן קיסמא נרמזת בהליכה לבחירות פעם שלישית
705	רמזים על המצב הפוליטי בארץ ישראל, והקשר בין לידת יששכר לחיבור תורה ותפילה
704	מדוע השתלשל רכבל מתחת למערת אליהו בחיפה, והקשר בין “קצתי בחיי” ליצחק אותיות ‘קץ חי’
703	שיעור במערת אליהו הנביא בחיפה בענין שמע ישראל שמייחד את הקב”ה גם בתהומות תחתונים
702	האדמו”ר מסטמאר שליט”א בביקורו בא”י נלחם בקליפת המחלוקת. וצופן חדש על נפילת אירן בח’ שבט תש”פ
701	על סילקו של הג”ר אהרן צבי רומפלער זצ”ל, והמשך הרמזים על הקשר בין אדמור”י גור ליניקת המלכות דקליפה
700	הקשר בין לימוד מוסר ליחוס. והקשר בין המספר 1335 ליחוד השלם
699	רמזים על שנת תש”פ בפסוק “והפשתה והשערה נכו” וביאורים בענין הפיכת סד”ם להוציא נשמת משיח
698	סיפורים מצדיקים שמשיחבפתח והמשך השיעורים הקודמים
697	סוף המילוי של דר”ך הם אותיות תש”פ, ועוד רמזים על שנת תש”פ וביאורים בפרשיות לך לך וירא
696	ראשי שלטון הערב רב יונקים מאדמור”י גור, והקשר בין קץ בעתה של הזהר בשנת תשע”א לשנת תש”פ
695	השתתפות בצער השכינה היא שכל ולא מדרגה, והקשר בין פרשת לך לך לקץ
694	על דברי הסנדלר הקדוש רמ”י רביקוב זצ”ל שהרוסים יכבשו את הארץ לתשעה חודשים ואחר כך יבוא משיח
693	שנת תש”פ נרמזת באופן פלאי בסוף אותיות המילוי של בראשית, ורואים קשר עם תיקון קרבן הפשתן של קין
692	מספר שמות אדנ”י בכל התנ”ך מרמז על הקץ בשנת תש”פ, וגם כמה פעמים מופיעים שאר שמות הקדש בתנ”ך
691	רמזים על מכת הברק שהרגה את הבחור הצדיק אשר חזות זצ”ל ועוד צפנים ורמזים על שנת תש”פ
690	מדוע לשון כבוד בתורה נאמר רק על העננים והבגדים והסוד של כסא הכבוד שנרמז בבית הכסא שבמקדש
689	עוד רמזים על חג הסוכות תש”פ שמסוגל לגאולה
688	סכה כפול לולב עולה 5780 והסוד של סוכה שהיא בבחינת תפילין
687	מדוע יהודי שנכשל בחטא ומתכנן לעשות תשובה לא נכלל בדין אחטא ואשוב אין מספיקין בידו לעשות תשובה
686	עוד רמזים על שנת תש”פ, והחיבור לעולם התשובה השמיני ביום הכיפורים
685	עוד רמז על שנת תש”פ, ואיך שייך לומר לה’ עשינו את שלנו תעשה את שלך
684	המשך הרמזים על שנת תש”פ, והמשך המאמר בענין פסוקים כנגד השנים
683	שיעור ערב ראש השנה תש”פ בקבר דוד המלך בענין פסוקים כנגד השנים
682	המצב בארץ ישראל ובעולם לאחר הבחירות, עוד רמזים על גאולה בשנת תש”פ, ורמזים על פסוקים כנגד השנים
681	הסיפור של רבי עקיבא ואשתו רחל הוא סיפור דומה באופן הפוך מהסיפור של עתניאל ואשתו עכסה
680	בתש”פ משלימים 13 כפול 60 כמנין אחד וכמנין אהבה, ומרומז בזהר ששנת תש”פ היא שנת קץ
679	הקשר של בצלאל לסוד הצמצום, ומדוע ציור הצמצום ב’עץ חיים’ מזכיר שעון שהמחוג על שעה 12
678	המצב הפוליטי בא”י וההורקינים בארה”ב וסוד הישועה שמזכירים בפסוקי ההבדלה במוצאי שבת (האזנה אינה זמינה כרגע)
677	דרשה באירוסי בתי אלישבע תחי’ בענין “לא אוכל לבדי שאת אתכם”
676	שיעור חודש אלול בקבר דוד המלך בענין המספר 87 שמסמל את אור הממלא כל עלמין
675	ריבוי האסונות של טביעה בים בבין הזמנים, והמשך השיעור על שער העיר שממנו יונקים הערב רב
674	מדוע הארץ והאשה הם בחינת תנור וסוד הצמצום שבין צום י”ז בתמוז לצום תשעה באב
673	עוד בענין שע”ר ר”ת שלטון ערב רב, והקשר לשער העיר שממנו יונקים הערב רב
672	מכתב הבעש”ט על השואה שנמסרה מדור לדור אצל אדמור”י קרלין ומה שאמרו על מלחמת עולם שלישית
671	גילוי הכותל המערבי מהררי האשפה על ידי הסולטן סולימן בשנת 5300 לבריאה והקשר לשנת תש”פ
670	הסוד של תשובה גנובה בגימטריא תשע”ט ומדוע רבי יוחנן קצץ את רגלי ריש לקיש בענין
669	התעוררות בליל תשעה באב תשע”ט
668	“טרחכם ומשאכם וריבכם” ר”ת מט”ר. ומילוי אותיות מש”ה מ נימ”א שיש בין טיפה לטיפה של מטר
667	שיעור בקבר דוד המלך על סוד הטיל חץ, וסוד ההכפלה בגימטראות
666	הסוד של מצא קן באויר או בים או בראשו של אדם ומדוע”דרך הנשר” בגימטריא תשע”ט
665	“בהעלתך” שנאמר על נרות המנורה, אותיות “לא תכבה” שנאמר במזבח, והקשר למסעות במדבר
664	רמזים על בחירת ג’ונסון באנגליה והקשר של אחיה השילוני עפ התיקון השלם בביאת המשיח
663	רמזים על אתחלתא דגאולה בחודשים תמוז אב תשע”ט והקשר בין אבן האזל לאבן העזר
662	רמז פלאי שמשיח בן דוד הוא סוד הכפרה ביום הכיפורים, ומדוע ר”ל שכב על המעיים כשהקשה על מסכת זבחים
661	טביעתו של המלמד ראובן באומן זצ”ל ורמז פלאי בדף כ’ במסכת הראשונה והאחרונה שבש”ס
660	רמזים באסון הצוללת הרוסית, וצפנים ורמזים חדשים על גאולה בשנת תשע”ט
659	בלעם קבל את האתון מתנה מיעקב אבינו, לכן הוא אמר “דרך כוכב מיעקב”
658	אין משיחין בשעת הסעודה מרמז שהמשיחים היינו משיח בן יוסף ומשיח בן דוד לא באים בשעת הסעודה
657	הגאולה תלויה בהבשלת הענבים והקשר לעיני החגבים שמתעורות בשעת הטל אותיות ה’תשע”ט בתוך אותיות ל”ב
656	שיעור חודש תמוז תשע”ט בקבר דוד המלך בענין ברוריה גלגול בת שבע, ובענין פגם של משכב זכור
655	המשך השיעור הקודם, וגם צופן פלאי על תהליך גאולה מתשע”ט עד תשפ”ב
654	תיקון אלישע בן אבויה בגאולה העתידה, ולכן ג’ פעמים ירדה אש מהשמים בשבילו
653	תחילת מלחמת פרס ורומי בהפלת המל”ט האמריקני על ידי אירן, ומדוע ה’ לא הבטיח לאבות את התורה
652	שע”ר ר”ת שלטון ערב רב, לכשיפול השער הזה, ויבנה, ויפול, וכו’, ואין מספיקין לבנותו עד שבן דוד בא
651	יעקב יעזוב את העקב של עשו, להפסיק יניקתו, ממילא המלכות תעבור ליעקב
650	רמזים על מפלגת כחול לבן ואיך ה’ משתמש בקליפת ליברמן להציל מקליפת כחול לבן
649	מפלת בנט ושקד מרמזת על סוף תקופת הבטן והשקד שמסמלים את העבר ברחם אמו ומעבר ללדת משיח
648	התרסקות החללית ‘בראשית’ מרמזת על שבירת הלוחות, שזה סוד סיום מלכות הערב רב
647	המשך השיעור הקודם והתאריכים כ”ה באייר וי”ח אלול שמקבילים לתחילה וסיום של מלחמת העולם השנייה הודעה שנתקבלה, על שמות ה’ שרמוזים בכנסת ה21
646	פיזור הכנסת והליכה לבחירות חוזרות מרמזת על המצב של לידת משיח
644	המשך השיעור הקודם והסוד של “בתוך אבני אש התהלכת”
643	רבי שמעון טוחן הרבה ומוציא קמעא בסוד גאולתן של ישראל קמעא קמעא, וכן מוציא קמעא בגימטריא משיח
642	רעידת האדמה מול חדרה מסמלת את תחילת התהליך של לידת משיח, ועוד בענין הלידה שנעשית באלכסון
641	המשך ענין התאריך כ”ג אייר תשע”ט ורמזים בפרשת בהר על אתחלתא דגאולה בשנת תשע”ט
640	התאריך כ”ג אייר תשע”ט הוא תאריך של קץ, והמשך ענין המעיין והקשר בין קול מבשר למים וטהרה
639	המשך ענין הקשר בין תוצאות הבחירות והגזירה של חוק הגיוס ללידת משיח
637	מכת הפרפרים והחיפושיות בארץ ישראל והמשך השיעורים של הנחש שמכיש את רחם האילה להוליד משיח
636	תוצאות הבחירות בישראל מובילים ללידת משיח והמשך סוד הנחש שמכיש את האילה להוליד משיח
635	בענין הפייק ניוז של טראמפ, ועל דברי הרא”ש שה’ חפץ יותר במצוות שבין אדם לחבירו מבין אדם למקום
634	קריעת ים סוף בזכות נחשון שהוא סוד הנחש שמקיש את רחם האילה שזה הסוד של לידת משיח
633	הקשר בין תוצאות הבחירות להתרסקות החללית בראשית באותם ימים וסוד המספר 3535
632	על שריפת הכנסייה הנוצרית בצרפת בערב פסח, וסוד החסה שבה טמונים הרחמים של ה’ שחס רחמנא עלן
631	רמז נפלא על פסח תשע”ט שמסוגל לגאולה, והמשך עניני מקוה ומעין ועוד הוספות בענין הניצוץ הקדוש של המן
630	הקשר בין תוצאות הבחירות בערב פסח תשע”ט לביאת המשיח וחשיבות הטהרה במקוה ובפרט במעין
629	מדוע אין דין הסיבה באכילת קרבן פסח לפי הרמב”ם והקשר לרבי נחמן ורבי נתן מברסלב
628	הבאתו של זכריה באומל הי”ד לקבר ישראל, והחללית בראשית שמתקרבת לנחיתה על הירח
627	סוד הסנפיר וקשקשת שקשור עם גלית ודוד בבחינת קליפת צרעת שמלבישה על הנגע שהוא ניצוץ קדוש
626	אור הפורים של מרדכי ואסתר מתגבר על קליפת התרפים של לבן ובלעם
625	על השטפונות באירן ועוד על ד’ ניסן ועל תיקון יש”ו הנוצרי לפני הגאולה
624	רמזים על שנת תשע”ט ובענין אסתר ירקרוקת והקשר לקוקוריקו ולכושי אותיות שכוי ועוד בעניני פורים
623	איך יתכן לומר ברוך המן בפורים ולעשות ההיפך ממצות היום של מחיית עמלק
622	השתלשלות יום הבחירות בד’ ניסן קשור עם סוד התאריכים ד’ ניסן וכ”ד ניסן שקשורים עם סיום ה70 שנים
621	פורים י”ד בבחינת בורא פרי האדמה, ופורים ט”ו בבחינת בורא פרי העץ ורמזים על פורים תשע”ט
620	רמזים על מפלגת גנץ לפיד ועל רון קובי ראש העיר טבריה ומה הקשר בין עכן לסוד משיח שיעור וידאו בקבר דוד המלך ראש חודש אדר ב
619	על דברי הגר”א שעד דלא ידע בפורים הוא סוד שניטלה הדעה ונטלה הנקמה והמשך ענין האחשתרנים
618	כל סודות מגילת אסתר נרמזים ב”אחשתרנים” שהגמרא אומרת שאנחנו לא יודעים מי הם
617	מפלגת לפיד גנץ, ומלחמת הודו פקיסטן, ורמזים על הקישקע ששמים בטשאלנט והפארפיל שאוכלים בשבת
616	המהומות בשער הרחמים וצירוף 6 שמות ה’ ביחד במקום יחיד בתנ”ך והקשר לפורים
615	מפלגת גנץ לפיד באה לעורר את עם ישראל לבקש מלכות בית דוד, וגם הסוד של חיבור זקף קטן וזקף גדול
614	ההתרסקות של ארגון דעא”ש, וסוד כהן בעל מום שיש לו חסרון בבגדי כהונה כי הגוף הוא בגד
613	רמזים על טראמפ ופומפאו ומדוע לא המשכן עומד לעולמי עד ולא שייך להחריבו כמו בית המקדש
612	סוד “בין כתפיו שכן” שנרמז בפרשיות ‘תרומה תצוה כי תישא ויקהל פקודי’ ר”ת כתפו”ת
611	שיעור חודש אדר א בקבר דוד המלך, רמזים על האסונות בתחילת חודש אדר וסוד מספר 602 וסוד השטראמל
610	האיומים האירנים שמתגברים בחודש אדר ומדוע מבקשים כספינו ירבה כחול
609	רמזים על חודש אדר תשע”ט וסוד הפסוק “אם בגפו יבא בגפו יצא”
608	גל הקור שפוקד את ארה”ב וסוד הפסוק “למשפטיך עמדו היום” שמתחלף בא”ל ב”ם לבראשי”ת
607	הסכסוך המסתמן בין רוסיה לאיראן, ומדוע משה נישק את יתרו ושמח כל כך בבואו
606	נכנס יין יצא סוד הוא הסוד של שבעים שנים חבלי משיח ושבעים שנים ימות המשיח
605	מדוע אנכי הוי”ה בא”ת ב”ש עולה תשע”ט, ובענין מכת הארבה שהיתה במכה בסעודיה
604	השתלשלות הדמוקרטיה מהדם של משפחת דורקטי, וסוד דבש התאנים
603	מדוע ה’ נדמה כרוכב על סוס בקריעת ים סוף והקשר בין סוס לחוטם
602	שיעור חודש שבט בקבר דוד המלך על שיר המעלות והקשר של החגים עם קריאת התורה והמשך ענין עצמות
601	רמזים על שנת תשע”ט שמסוגלת לגאולה
600	“הסתו עבר” מרמז על שלטון הערב רב, והקשר בין יום העצמאות לתחיית עצמות בני אפרים על ידי יחזקאל
599	התגלות כוכב חדש בעולם, והסוד של ד’ אותיות הוי”ה שנוספו לאברהם יעקב יוסף ודוד וקשורים לגאולה
598	השתלטות אירן על עירק, והקמת המפלגה של בנט, והקשר ל”בן טבאל”, וחנוכה שמפצה את הנפגעים מניסן
597	שבעים שנים לבחירות הראשונות במדינת ישראל, וג’ פעמים שנאמר תיפח בש”ס, וסוד חצי נזק צרורות
596	מדוע יוסף הצדיק התגלגל ברבי ישמעאל בן אלישע וקיבל את העונש הקשה ביותר מעשרה הרוגי מלכות
595	על הנסיגה האמריקאית מסוריא, והקשר בין שוקלד ללימוד קבלה, והמשך השיעור הקודם בענין ימח שמו
594	ימח שמו וזכרו הוא בפנימיותו ברכה ולא קללה
593	רמזים וצפנים על עשרה בטבת תשע”ט ועוד בעניני חנוכה
592	עץ אלון לימד את אברהם איך עושים ברית מילה, ומדוע בחנוכה אומרים רבת את ריבם ובפורים הרב את ריבנו
591	בענין ראש חדש טבת שחל בשבת חנוכה, וגער חית קנה שנרמז ברבי נחוניה בן הקנה
590	האם מלכות רוסיה תכבוש את ארץ ישראל לפני ביאת המשיח, והקשר בין חנוכה לחלום
589	רמזים על שנת תשע”ט שמסוגלת לגאולה, ועל התעוררות המלחמה בין רוסיה לאוקראינה
588	המספרים 7 ו13 נמצאים בציצית ובפרי חג הסוכות ובנרות חנוכה ומגלים את הקשר בין ג’ מצוות אלו
587	רמזים בפרשת וישלח והסוד של עקבתא דמשיחא
586	המחלוקות בשנת תשע”ט בגלל שעומדים לפני עשור חדש והשטן מנסה לעכב את הגאולה, ועוד על פרשת ויצא
585	השתלשלות כביש 6 עד צומת סומך ורמזים בפלאפל ופיצה על הגאולה ושנת תשע”ט
584	התפטרות ליברמן והמצב של חוק הגיוס, וגם על הדרישות הכספיות של הבחורים בשידוכים, ועל פרשת ויצא
583	רמזים על שנת תשע”ט וביאור מדוע דמעות ה’ סופר אותם והקשר לתורת המספרים
582	הסוד של פי שניים שמופיע שלש פעמים בתנ”ך והמשך השיעור על ענין השתלשלות הבחירות
581	האם אליעזר שם את הנזם על האף של רבקה או שנתן לה ביד, ופרשת חיי שרה שמחברת עניני אבילות ונישואין
580	התאונה הנוראה בעין בוקק בה נשרפו שמונה בני משפחת עטר וסוד החנינא שקודמת לרחמים ודרשה בבר מצוה
579	ההצפות בונציה, והשתלשלות הבחירות להחליט מי יהיה המלך שמגלה את הסוד של ידיעה ובחירה
578	השתלשלות ימי הבחירות בא”י בימי שלישי, והגרלת הלוטו הגדולה בארה”ב, והמשך ענין תנורו של עכנאי
577	הסוד של “ושעשע יונק” שקשור לבר מצוה, וגם הסוד בתנורו של עכנאי שקשור לגאולה ולשנת תשע”ט
576	דרשה בברית לבני אבא אברהם משה ני”ו י”ב חשון תשע”ט בענין הקשר בין טעם תביר לברית
575	רמזים בפסוק על גאולה בשנת תשע”ט והוספות על שיעורים קודמים ומדוע יקותיאל אותיות תא קולי
574	רמזים בפסוק “אם מחוט ועד שרוך נעל” על גאולה בשנת תשע”ט ובענין הפיגוע בחצי האי קרים
573	האתון של בלעם אותיות תאונה ודוד רמז עליה “לא תאנה אליך רעה וגו’ כי מלאכיו יצוה לך”
572	רמזים בפרשת נח ובחדש חשון על שנת תשע”ט ורמזים על סוף מדינת ישראל אחרי 70 שנים
571	השתלשלות הסירנה מרמזת על הנסירה בזמן השופר, והמשך השיעורים הקודמים
570	מדוע אוכלים קוגעל איטריות בשמחת תורה ושבת בראשית, ורמזים נפלאים על גאולה בשנת תשע”ט
569	מי הם האחרים שנוחלים את כבודו של משיח היום. והקשר בין סוכה לסוכת המציל שהשתלשל בחופי הים
568	הקשר בין סוכה ולולב לתפילין ומדוע האש והפרד עלה במחשבה לבראותם בע”ש בין השמשות ונבראו במוצ”ש
567	סיימנו כעת ל”ט יובלות לחורבן הבית ונכנסנו ליובל האחרון של 2000 שנים ימות המשיח, שכבר חייב לבוא
566	סוד חיבוק השמאל של ראש השנה וחיבוק הימין של סוכות והמחלוקת אם 2 דפנות וטפח או 3 וטפח
565	רמזים בפסוק “ונתתי להם לב אחד” והקשר בין אתרוג ולימון לשם מ”ב
564	רמזים בפסוקי הברית החדשה בירמיהו על שנת תשע”ח, וסוד חיבור המספרים 18 ו19 שמסמלים את היחוד
563	על הוריקן פלורנס והמלחמה באידליב והמשך הרמזים על אליהו ואנגליה
562	הקשר בין שופר לקפה ולצפייה לישועה והקשר בין שופר למולד הלבנה
561	ביאור נפלא איך שנת תשע”ט מכוונת כנגד הקץ של 1290
560	הגנרל אלנבי שכבש את ארץ ישראל מידי הטורקים היה קליפה שיונקת מאליהו הנביא
559	המשך השיעור הקודם והסוד של אמה טקרסין שקשור עם טורקיה וסין
558	המשך השיעור הקודם ומדוע בלעם אמר פעמיים “אראנו אשורנו” על הגאולה העתידה על האבות והאמהות
557	הפסוק 5779 מתחילת התורה הוא “הלא הוא כמס עמדי” שמדבר על הקץ, וגם דרשה בפדיון הבן
556	הקשר של “מה פעל אל” לקץ הגאולה ושנת תשע”ח, וגם רמזים על מחלת העכברת שפרצה בא”י
555	מדוע השתלשל בטלגרף הראשון שנשלח בעולם נכתבו המילים “מה פעל אל”
554	על נפילת הגשר באיטליא והסוד של לב אהרן שקשור עם ברכת כהנים
